Gene	117-A2	117-A3	124-A1	124-A2	117-A1	120-A1	120-A2	120-A3
LMLN	3.8560893527640174	5.831377855585326	6.243644478054508	4.84949775791898	7.68308535710268	10.723585807892956	11.18899582014507	10.921685475561032
LMNA	293.05655608160265	95.2552565718095	206.44696639991741	629.9743611113395	199.2020586593173	167.86027854034216	191.93044562384807	151.58210846359242
LMNB1	53.82519016087848	8.35970286471425	5.773691201254617	12.014837054604072	10.692551438979423	14.923822068145135	10.472545746493193	10.52280917855134
LMNB2	101.66251535509971	16.518999781501506	13.198427837447193	18.458172209148465	23.846830775091906	16.289580442768305	16.672012656723748	13.390292673807654
LMNTD1	6.675947351475218	3.619972830912108	1.2966523276238868	3.08208592218947	1.4615574818737898	2.1944914783473606	2.5256311531807563	1.5718990443812209
LMNTD2	20.14515453199581	11.908134161788599	9.601962786065274	12.567249110703688	9.141841790101562	16.914128480472115	18.82499956549436	13.315936814258945
LMO1	0.0	2.65020419688567	0.0	0.0	2.516678085833162	4.990319599924624	2.6323569921108416	0.0
LMO2	11.141820569165821	15.3182618885244	42.21051074375108	62.40974351438234	17.42227052297366	19.877073814891087	18.086083745638486	18.316004252982225
LMO3	4.1724412068382595	0.0	0.0	14.597724003484876	0.0	1.110688377899253	1.4834349845401211	2.167966697242333
LMO4	21.67188727239769	10.260164783682988	11.653145465065133	25.95134377233973	12.903271275717778	11.413580597035027	15.403822186472627	17.959644135732525
LMO7	32.481293623964426	50.29987380064031	94.03857879199086	49.43826094775138	56.16570545692663	23.29358226909584	17.527119631993145	25.71855938913869
LMO7DN	0.0	0.0	0.0	2.0373787839558184	0.0	0.0	0.0	0.0
LMOD1	1.169163125324197	2.9839567165493195	1.457251806020854	33.186030782558056	6.961895362641284	1.5237594794964673	0.0	2.8199367293565296
LMOD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMOD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMTK2	25.314224299742232	21.220326363663016	39.48988339561423	27.458033302523226	28.28100829820508	33.480608797239874	31.76537321986089	31.09154857461105
LMTK3	0.0	0.0	1.2385526399136515	5.1096054028637585	0.0	1.1077481281928871	2.3968594463418933	1.139035065870146
LMX1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LMX1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNP1	2.47796179824152	2.3477400357854825	4.9681531884699615	1.348561668070556	8.355347737456299	2.4719185520133107	2.8523077539060275	1.5440512324270932
LNPEP	65.26234491036747	77.30631361987743	69.75276026207581	67.63724617278586	55.89023348297428	90.78067018977656	95.26338721183771	139.5949195813156
LNX1	5.145455012081264	7.0972707467748295	8.472814819197056	17.92787712536894	7.415864768307983	4.709392047509097	5.3069433566330595	4.614977445741257
LNX2	8.07797830649911	15.034708130547006	23.20787428001467	19.67100295623563	19.434827334707094	7.3264874137127265	7.6082172833290995	8.357730711146719
LOH12CR1	11.803138361543189	10.593817020146108	12.073692740954176	15.663193645563204	10.821506190984648	21.171131764508	15.03944006335535	23.04721159560166
LONP1	78.03642692472891	126.7312851490752	88.02889767839469	70.4594899199833	166.52806681791412	99.5163969283868	130.7710498960483	95.97033144441968
LONP2	38.8310939588475	57.55623424493555	80.32050326452273	60.79458143425624	72.3221873185178	63.367875481960276	63.26151253526333	73.63386564847477
LONRF1	32.689222539812704	25.120886575481023	20.806658704524924	40.64818925285401	19.22002416231756	18.033499773360788	23.509030897079693	21.39848620744176
LONRF2	1.0291198668998771	4.642495442574154	0.0	1.6859762353716508	3.4575998206588183	1.807094365328956	1.8212875703741327	1.8123164647189296
LONRF3	9.164960676943664	4.520207099359273	6.751121330615045	6.610928156991387	3.2738829655927715	6.945385572856728	5.787976564356158	3.925890875289276
LOR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOX	76.62798790167723	103.13224625080193	159.74963425825047	88.50228099952881	89.60906813233713	510.8907765873748	218.64891333901286	167.42417291355054
LOXHD1	0.0	0.0	0.0	1.0913900043813258	0.0	0.0	0.0	0.0
LOXL1	147.64977147141985	13.767028192724169	4.220395665501685	19.908262971134555	11.603371590241947	2.0127466978910755	2.398656344852582	12.707998700098797
LOXL2	659.0090413982521	47.48702402605144	24.58110574702097	81.76783613786948	83.43334514742595	140.1914140619766	102.3290291839362	142.9926855724342
LOXL3	21.739848699091173	9.940291464312633	3.932616081093868	6.62522894753798	9.365846887312086	9.560164436429305	7.698683054080348	12.178840963579939
LOXL4	12.168328200297694	10.48531059717923	7.478579811886778	9.33930209871578	8.226584692218182	3.5109338176601086	3.721272974767909	3.783242109777648
LPA	0.0	1.0788648224955983	1.2198641703312814	0.0	0.0	0.0	0.0	0.0
LPAR1	4.583860402565488	4.0062426598581276	8.715382534412798	35.41279814113297	4.85351328434841	9.740090060445967	10.876509299869788	12.393451934190614
LPAR2	27.051494583699945	24.2833864687856	3.246251492124701	12.79058128051075	18.69734418210954	9.00388430927654	19.690149763136308	14.02782226359867
LPAR3	0.0	0.0	0.0	0.0	0.0	0.0	1.0765318303585256	0.0
LPAR4	0.0	1.0626960617919263	0.0	0.0	0.0	1.0944607910558235	0.0	0.0
LPAR5	5.160976888150247	3.723104074330905	2.7881879317974523	1.8990857580192042	4.226827483813588	5.6166772663632445	8.70358042948683	4.658362281910012
LPAR6	28.722928588571023	87.19472356505823	84.81491492910735	75.85402288045802	38.06773674231782	64.6350348153393	49.55570688436764	69.95953371751833
LPCAT1	53.5413801256423	128.79063473577904	242.35626686473628	200.056355930106	100.43010357670477	872.7057417495997	953.6540635052313	755.8457079291707
LPCAT2	13.140989137228393	11.774150290312614	9.351048126939908	11.063558304542367	8.12660535302312	12.6179841146895	12.09190797543376	20.60522155392583
LPCAT3	25.36498971031651	164.26538670618456	94.08074369956341	45.769351922045225	135.60761584628452	101.90324927450342	130.80066711701272	113.14831886267577
LPCAT4	26.594219826062933	7.547790016632511	3.6626986143568923	8.18241316983801	7.926968315986687	7.336974240814063	11.261792783929865	8.06015061842486
LPGAT1	31.42469116059375	37.500727340318	42.4645566207946	36.47994770164919	29.919981872732762	49.385695536237506	33.849188565610746	38.46201705312089
LPIN1	21.087421167670094	18.020534017949085	5.912609527277588	20.036196445525587	12.506045524549167	17.043962514006292	16.340728681802098	22.162035896397878
LPIN2	70.53375731286441	62.31263134666477	68.04625864888867	42.821753769323365	61.91664221064485	62.7010631808709	62.513083352280034	63.55163674236614
LPIN3	47.88282283653412	82.51351880708184	25.5746367366415	26.88294938994607	31.640988902979394	37.18129638402499	49.20291881998264	29.232722650995488
LPL	1.7942292911056832	12.243921929006882	22.97747659211237	239.17472090627567	19.352010011318207	9.391093408919904	15.018346822546462	15.872737688606597
LPO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPP	270.87952591353735	214.93934535228453	91.98296217879538	173.9809360349161	190.02050160000118	96.294092543142	121.45115133595742	97.10419971022112
LPPR2	7.8037909684911915	16.075642737825245	7.37737463600812	24.810777523933183	9.254486556376623	11.207883166670108	20.95447554714333	12.41946011392894
LPPR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPPR4	0.0	0.0	0.0	3.228854108317498	0.0	0.0	0.0	1.3557249705744276
LPPR5	0.0	0.0	25.443150698634334	0.0	3.736933620930718	10.774100105162509	6.419555374047289	5.515798839417133
LPXN	37.42790120835772	25.787569292564026	20.441489832778963	13.533558869445624	26.03668652534379	20.151248130132693	15.821472417826998	18.93117035056641
LRAT	0.0	1.2871047937643223	1.5026969985482976	3.9746439485471807	1.0001953371389911	0.0	1.7303929491016623	1.4317511060935288
LRBA	81.26578880801567	47.64766637361745	66.16227004639296	53.03618905398425	51.76340876918285	47.59306491061065	41.49037374456756	48.26210551088118
LRCH1	33.59492148279542	37.983636078280895	50.3015292354319	45.96815004187714	51.58927299232162	16.176910251870858	19.036685948586488	20.693103332274887
LRCH2	19.60270429124387	0.0	1.2115747468543079	2.8803264739500736	0.0	0.0	0.0	0.0
LRCH3	42.88915892771227	28.55593217046701	17.716562224691387	34.628879934291746	25.92527507260376	21.53287457953754	21.74900040960261	22.883190071918868
LRCH4	48.305254554376106	31.64965135706976	10.751635825625934	26.354429081826442	35.86893680634295	17.620801085004576	34.57248333269763	20.72398262102191
LRCOL1	0.0	0.0	0.0	0.0	0.0	1.2122670500296746	3.5415154013933434	2.9358751923623903
LRFN1	5.4916484125505125	2.8436805756564643	0.0	1.3844109235698738	3.0892054466160173	2.148834081686468	3.50266537203536	2.419063439953006
LRFN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRFN3	20.949625730908014	5.7957823335593615	1.9164795474990413	8.163937714790716	2.237507662328338	4.8832853640162845	10.912975504067866	5.368776448867709
LRFN4	69.70621256735501	15.981381543492784	2.698623757281248	9.820154115705716	17.365075874045804	3.724919716035044	4.66420901271302	3.2777666410456163
LRFN5	3.5618689807026835	0.0	0.0	1.082685922386397	5.200878917092545	11.685844289870765	14.073101453977687	13.131630646281776
LRG1	4.26884064441051	84.54174653767808	4.228148771705226	23.66581476406844	8.718440354351081	59.43407671733193	26.703808093395384	33.057633453655036
LRGUK	2.0025781851906963	3.4471748480893463	1.4863684869984155	1.687911711105544	2.5339374460755257	2.468615614343598	4.008009217013759	2.9731265098430923
LRIF1	7.889684455636276	10.699996872860837	13.783058223569698	13.303136187883403	2.2374416299974467	15.842623741401123	17.14218153613236	21.61856464835636
LRIG1	89.97954344694506	6.859180377754952	11.061406039555363	23.464080583136273	10.750063469110597	15.353229372420687	15.681935121795325	18.2533360913201
LRIG2	7.642954457676001	8.988834537361075	8.394094461455607	10.193337083122987	7.563726593828603	8.900273695298926	12.035879054535144	12.199153747734062
LRIG3	7.42644557407039	51.2232799336098	34.45116640878184	37.061717343719664	45.692264202371035	53.62500968351112	43.84059893399568	53.744781091299544
LRIT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRIT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRIT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRMP	10.578042361463863	17.222160512775083	21.62603080702117	22.379637066858887	9.593068775153178	30.832928863395015	20.48092055245077	28.916101976732016
LRP1	123.78988778714974	225.1483757320204	132.3047465787271	262.75801517165854	197.66822195774608	152.57846630250455	185.2445993716395	165.85069744478486
LRP10	163.0219610188036	168.40457580780927	92.65140145558144	157.9671620389461	228.7730221566698	143.13048360330578	165.5851007240536	143.32280336837377
LRP11	34.99455307761805	32.26476594536335	36.866700521266495	29.287735034886154	22.481742268499993	35.31427275540038	30.57313557283923	30.612941474213844
LRP12	20.583573565705237	9.718560288453439	8.625999022663928	18.87289462965348	14.007913358747912	11.45165330548168	12.553613824042655	14.987420859198306
LRP1B	1.1288820168143603	0.0	0.0	0.0	1.397587276773928	0.0	0.0	0.0
LRP2	2.289841134280433	364.78590818977966	1175.2645281637786	312.51697130951635	431.29170287094183	165.16651055757868	66.72797744091329	90.63491815261685
LRP2BP	8.848696099873123	4.400090890267741	4.835880497785307	9.064201764507734	4.512519558527769	2.187622638355	3.9228777639545918	2.7090824819681814
