,TWDN-WUR-124-A1,TWDN-WUR-124-A2,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3
ERVFRD-1,0.103653675986404,0.0589585085588396,0.120280905530287,0,0,0.0359108504877147,0.0440874827921044
RP3-510L9.1,42.5498339924187,46.8523614680912,11.5244142611206,0.730983465154018,17.5512301335209,19.1494610225739,4.93779807271569
NEDD9,60.6063043492502,68.5294397815579,26.0107458209245,12.4359718628734,25.1184125052105,28.5401484251112,11.6920004364661
RP11-716O23.1,2.28038087170088,1.72944958439263,2.51086390294474,0.0925295525511416,0.841655998483846,0.897771262192867,0.626042255647882
RP11-716O23.2,0.932883083877633,0.864724792196315,0.774308329351221,0.0555177315306849,0.239370054614672,0.332175367011361,0.185167427726838
RNU1-64P,0,0,0,0,0,0,0
TMEM170B,10.8629052433751,8.21488552586499,10.7350708185781,1.41570215403247,15.0030972940744,12.33537714253,11.3040305878956
RP11-679B17.2,0,0,0,0,0,0,0
ADTRP,9.05933128121168,11.162810953807,11.9002920909027,1.36943737775689,2.94193518736096,1.91225278847081,1.61360187019102
RP3-413H6.2,0.0310961027959211,0.0786113447451195,0.811896112329436,0.00925295525511416,0.162153907964778,0.233420528170145,0.149897441493155
RP11-456H18.1,0.0103653675986404,0,0.00751755659564292,0,0,0,0.00881749655842087
RP11-456H18.2,0.818864040292589,1.13986449880423,0.157868688508501,0.0277588657653425,0.0617729173199153,0.0987548388412154,0.0352699862336835
HIVEP1,125.078890812793,167.913832375575,68.5676337088591,23.5210122585002,43.9051009851298,27.7949982774912,22.9431260450111
EDN1,60.2538818508964,115.283537068718,6.05915061608819,0.314600478673881,5.25841958685779,1.98407448944624,2.53943900882521
RN7SKP293,0,0,0,0,0,0,0
RP11-125M16.1,0.0310961027959211,0.0589585085588396,0.0150351131912858,0,0.00772161466498941,0.00897771262192867,0
PHACTR1,28.6395106750433,193.187379711131,40.5572178334936,6.83793393352936,24.794104689281,18.5389765642827,21.6381365543648
AL354680.1,0,0,0,0,0,0,0
RNU1-11P,0,0,0,0,0,0,0
RP1-257A7.4,12.8115943519195,21.559161296349,16.7190458687099,0.619948002092648,1.71419845562765,1.63394369719102,1.37552946311366
TBC1D7,19.97406336258,21.1661045726234,35.8512274046211,2.86841612908539,6.23134303464645,7.02954898297015,4.97306805894937
RP1-257A7.5,0,0,0,0,0,0,0
GFOD1,6.97589239388496,23.1903466998103,7.05146808671306,4.57095989602639,8.10769539823888,6.68839590333686,8.8704015377714
GFOD1-AS1,0,0.0196528361862799,0,0,0,0,0.00881749655842087
RN7SKP204,0,0,0,0,0,0,0
SIRT5,26.286572230152,22.679372958967,40.6774987390239,5.94039727378329,9.38176181796213,7.96323109565073,6.24278756336198
RP1-223E5.4,0,0,0,0,0,0,0
NOL7,32.5057927893362,27.6122348417232,41.1811750309319,29.8037688767227,43.4340824905654,41.6386311405052,33.4006769632983
RANBP9,73.1691298788023,104.474477166264,70.5748213198957,29.1097972325891,40.1678394872749,39.2326041578283,38.6999923949092
MCUR1,21.8087334275393,15.9777558194455,20.3349905912141,5.05211356929233,11.4434329335143,16.8870774418478,11.4891980156224
RP3-500L14.2,0,0,0,0,0,0,0
RNF182,0.818864040292589,3.6161218582755,5.05931558886769,0.508912539031278,0.555956255879237,0.47581876896222,0.379152352012098
RP3-380E11.2,0,0.0196528361862799,0.0451053395738575,0,0,0,0
CD83,14.1487267721441,57.2880174830059,3.89409431654303,1.58225534862452,2.66395705942135,2.72922463706632,1.79876929791786
RNU7-133P,0.228038087170088,0.196528361862799,0.0300702263825717,0.0462647762755708,0.0231648439949682,0.026933137865786,0
RP11-359N11.1,0.0829229407891229,0.0589585085588396,0.112763348934644,0,0.0308864586599576,0.0359108504877147,0.00881749655842087
LINC01108,0.352422498353772,0.275139706607918,0.0676580093607863,0.0647706867857991,0.0463296879899365,0.0718217009754294,0.00881749655842087
RP3-448I9.2,0.114019043585044,0.0393056723725598,0.0300702263825717,0.00925295525511416,0.0154432293299788,0.0448885631096434,0.0176349931168417
RP3-448I9.1,0.186576616775527,0.176875525676519,0.105245792339001,0.0462647762755708,0.0540513026549259,0.107732551463144,0.0440874827921044
RP11-330A16.1,0,0.0196528361862799,0.0225526697869288,0.0370118210204566,0.0154432293299788,0.0448885631096434,0.0352699862336835
RNU6-793P,0,0,0,0,0,0,0
RP11-146I2.1,9.76417627791922,16.2725483622397,8.00619777435971,9.0216313737363,5.103987293558,4.65943285078098,4.1794933686915
RN7SL332P,0,0,0,0,0,0,0.00881749655842087
AL050335.1,0,0,0,0,0,0,0
RP11-560J1.2,0,0,0,0,0,0,0
JARID2,114.931195933724,160.347490443858,75.1981186262161,21.4390973260995,45.897277568697,55.2308880501052,43.7171479366507
JARID2-AS1,0,0,0.00751755659564292,0.00925295525511416,0,0.00897771262192867,0
RNU6-522P,0,0,0,0,0,0,0
RNU6-645P,0,0,0,0,0,0,0
DTNBP1,108.007130377833,103.884892080675,68.1541680960987,16.8311256090526,61.8732983105601,42.7249343677585,46.4858418559948
RP11-401E14.2,0,0,0,0,0,0.0179554252438573,0.0176349931168417
MYLIP,29.9662777276693,20.851659193643,25.6950084439075,2.19295039546205,5.22753312819783,5.10831848187741,5.17587047979305
MIR4639,0,0,0,0,0,0,0
RNU6-1114P,0,0,0,0,0,0,0
GMPR,3.93883968748334,9.41370853322806,5.4652636450324,0.860524838725616,6.72552637320578,2.90877888950489,3.14784627135625
RP3-467D16.3,0.0207307351972807,0.176875525676519,0.0601404527651434,0.0185059105102283,0.0231648439949682,0.0179554252438573,0.0264524896752626
ATXN1,634.142824317219,847.705436058996,420.41935261133,119.788758732708,164.586216584249,157.828187893506,122.818909562244
AL009031.1,0,0,0,0,0,0,0
AL034375.1,0,0,0,0,0,0,0
RP1-151F17.1,5.04793402053786,3.93056723725598,1.88690670550637,0.157300239336941,0.409245577244439,0.619462170913078,0.193984924285259
RP1-151F17.2,0,0,0,0,0,0,0
AL591610.1,0,0.0196528361862799,0.00751755659564292,0.00925295525511416,0,0,0
AL133405.1,0,0,0,0,0,0,0
STMND1,0.238403454768728,0.176875525676519,0.0826931225520721,0.0925295525511416,0.038608073324947,0.0448885631096434,0.0529049793505252
RBM24,2.23891940130632,2.5352158680301,0.0751755659564292,0.120288418316484,0.0231648439949682,0.053866275731572,0.0176349931168417
CAP2,134.438817754365,107.18656855997,70.6199266594696,7.03224599388676,26.6704570528734,14.7054932747192,13.8787395829545
FAM8A1,13.1951129530692,12.5188566506603,16.4784840576493,2.34099767954388,5.41285188015758,9.39966511515932,5.2816804384941
NUP153,118.372497976473,127.330725650907,78.4682557453208,31.2657358070307,40.7083525138242,39.394202985023,30.2175607057083
RNU6-190P,0,0,0,0,0,0,0
RP11-500C11.3,0,0,0,0,0,0,0
RNA5SP204,0,0,0,0,0,0,0
KIF13A,203.513627431705,219.993848269217,100.592424806298,35.7256602399958,51.757983099424,58.4808200192434,42.6149608668481
NHLRC1,0.435345439142895,0.0982641809313994,0.210491584678002,0.0370118210204566,0.154432293299788,0.26933137865786,0.158714938051576
TPMT,55.278505403549,73.3443846471965,28.7396188651429,5.20016085337415,7.32009070240996,9.69592963168297,7.56541204712511
KDM1B,55.5480049611137,58.9585085588396,41.5269826343315,17.7841800003294,17.0493251802966,16.0790833058742,14.1785344659408
DEK,62.2958592678286,84.3696257476995,68.1090627565249,174.806830679617,75.0232080850371,58.65139655906,65.8578817948455
RNU6-263P,0,0,0,0,0,0,0
RNF144B,77.3981998590476,70.1016666764603,59.5014604545137,10.1504919148602,55.5956255879237,69.6401168083007,59.1124969276535
MIR548A1,0.0103653675986404,0.0196528361862799,0.00751755659564292,0,0,0,0
RP11-686D16.1,0.176211249176886,0.943336136941434,2.25526697869288,0.0462647762755708,0.0231648439949682,0.0718217009754294,0.0529049793505252
RNA5SP205,0,0,0.0150351131912858,0,0,0,0
RP1-167F1.2,128.68603873712,150.894476238257,116.304118091192,122.592404175007,61.216961064036,50.221324407069,52.2789370948774
RNU6-801P,0,0,0,0,0,0,0
RP3-471C18.2,0.29023029276193,1.69014391202007,1.94704715827152,0,0.0308864586599576,0.0359108504877147,0
RP3-471C18.1,0,0.0196528361862799,0.0150351131912858,0,0,0.00897771262192867,0
RP4-625H18.2,0,0.0786113447451195,0.0826931225520721,0,0.00772161466498941,0.0448885631096434,0.0176349931168417
ID4,2.21818866610904,12.1847584354935,7.915987095212,0.0832765972960274,0.416967191909428,1.06834780200951,0.264524896752626
MBOAT1,18.1601240328179,39.4039365534912,4.90144690035918,4.50618920924059,6.03058105335673,4.31827977114769,4.82317061745622
RP11-239H6.2,4.22906998024527,7.82182880213939,2.11243340337566,0.740236420409132,1.08874766776351,0.996526101034083,0.643677248764724
E2F3,65.654238369788,68.3329114196951,29.6041378736418,18.7557403021164,44.437892397014,39.8071777656317,32.6159197695988
RN7SL128P,0,0,0,0,0,0,0
AL136303.2,0,0,0,0,0,0,0
AL136303.1,0,0,0,0,0,0,0
E2F3-IT1,0.0207307351972807,0.0982641809313994,0.00751755659564292,0,0,0.00897771262192867,0
RNU6-141P,0,0,0,0,0,0,0
CDKAL1,549.468136403926,482.319905683681,389.642475908768,69.1473346214681,198.653980486182,137.376958540753,115.518022411872
RP3-348I23.2,11.1738662713343,8.82412344763967,6.30722998374441,0.434888896990365,1.43622032768803,1.49927800786209,0.537867290063673
RNU6-150P,0,0,0,0,0,0,0
RP1-135L22.1,0,0,0,0,0,0.00897771262192867,0
LINC00581,0.632287423517062,1.72944958439263,0.706650319990435,0.185059105102283,0.401523962579449,0.457863343718362,0.484962310713148
RP11-204E9.1,0.103653675986404,0.353751051353038,0.0526228961695005,0,0.00772161466498941,0.00897771262192867,0
SOX4,23.0318468041789,64.461302690998,36.7683693092895,5.85712067648726,34.3225771858779,94.4365590700677,62.1016282609582
CASC15,64.0476063919988,190.671816679287,152.020029477091,35.3462890745361,44.9706838088983,40.5433502006299,35.7020435650461
RP4-551N11.1,0,0,0,0,0,0,0
RN7SKP240,0,0,0,0,0,0.00897771262192867,0
NBAT1,0.342057130755132,1.25778151592191,0.97728235743358,0.0277588657653425,0.0308864586599576,0.0987548388412154,0.0617224759089461
RP11-524C21.2,0,0,0,0,0,0,0
RP3-404K8.2,0.963979186673554,0.471668068470717,0.774308329351221,0.157300239336941,0.223926825284693,0.466841056340291,0.264524896752626
PRL,0,0,0,0,0,0,0
HDGFL1,0,0,0,0.00925295525511416,0,0,0
RP1-309H15.2,0,0.0393056723725598,0.0526228961695005,0,0.00772161466498941,0,0.00881749655842087
RP1-209A6.1,7.13137290786457,10.2194748168655,26.7850541502757,1.35093146724667,3.66004535120498,2.99855601572418,2.08974668434575
