,TWDN-WUR-117-A1,TWDN-WUR-117-A2,TWDN-WUR-120-A1,TWDN-WUR-120-A2,TWDN-WUR-120-A3,TWDN-WUR-124-A1,TWDN-WUR-124-A2
CEBPZOS,16.1588229632331,25.106343296965,14.5673510481484,31.6584382019099,16.9367609573786,31.980875436489,17.6768400452206
CECR1,6.32301768126511,25.106343296965,3.84797952215241,10.9167028282448,14.1139674644822,1.99880471478056,8.1018850207261
CECR2,44.2611237688558,7.17324094199,4.67254656261364,5.45835141412239,0,0,44.5938464777155
CECR5,54.7994865709643,3.586620470995,29.4095577764505,26.2000867877875,33.8735219147573,41.9748990103918,33.0101596299005
CECR6,0,0,0.82456704046123,0,0,0,0.0669577274440173
CEL,0.702557520140568,0,0.82456704046123,0.545835141412239,0,1.99880471478056,0.401746364664104
CELA1,0,3.586620470995,0,0,0,0,0
CELA2A,0.702557520140568,0,0,0.545835141412239,0,0,0.200873182332052
CELA2B,2.81023008056227,3.586620470995,0.549711360307487,1.63750542423672,4.23419023934466,1.99880471478056,1.74090091354445
CELA3A,0,0,0,0,0,0,0.0669577274440173
CELA3B,0,0,0.274855680153743,0,0,0,0.0669577274440173
CELF1,190.393087958094,172.15778260776,197.346378350388,147.375488181305,201.829734742095,163.901986612006,192.436508674106
CELF2,200.228893240062,455.500799816365,123.135344708877,149.558828746954,280.867952543196,65.9605555877585,84.7015252166819
CELF3,0,0,0,0.545835141412239,0,0,0
CELF4,0.702557520140568,17.933102354975,2.74855680153743,2.7291757070612,4.23419023934466,0,4.15137910152907
CELF5,0.702557520140568,0,0.549711360307487,0.545835141412239,0,0,0.669577274440173
CELF6,0,0,0.274855680153743,0,0,0,0.267830909776069
CELSR1,121.542450984318,21.51972282597,88.7783846896591,52.9460087169872,46.5760926327913,349.790825086598,452.701195249001
CELSR2,35.8304335271689,0,11.2690828863035,21.2875705150773,16.9367609573786,1.99880471478056,8.5036313853902
CELSR3,0.702557520140568,0,9.89480448553476,7.64169197977135,12.702570718034,0,0.602619546996156
CEMIP,16.1588229632331,7.17324094199,9.89480448553476,9.27919740400807,7.0569837322411,33.9796801512695,25.7117673385026
CEMP1,0,0,0,0,0,0,0
CEND1,1.40511504028114,0,1.09942272061497,0,0,0,0.200873182332052
CENPA,6.32301768126511,17.933102354975,7.69595904430481,23.4709110807263,12.702570718034,0,1.9417740958765
CENPB,11.9434778423897,7.17324094199,6.59653632368984,14.1917136767182,18.3481577038269,11.9928282886834,1.27219682143633
CENPBD1,0,0,0,0,0,0,0
CENPC,122.947566024599,125.531716484825,77.7841574835093,51.3085032927505,80.4496145475485,93.9438215946864,131.571934427494
CENPE,3.51278760070284,104.011993658855,22.5381657726069,6.55002169694687,11.2911739715858,0,3.0800554624248
CENPF,5.62046016112454,487.78038405532,55.7957030712099,10.3708676868325,29.6393316754126,11.9928282886834,3.28092864475685
CENPH,3.51278760070284,14.34648188398,5.77196928322861,7.09585683835911,2.82279349289644,0,5.35661819552138
CENPI,9.13324776182738,96.838752716865,19.239897610762,3.82084598988568,14.1139674644822,5.99641414434168,4.35225228386113
CENPJ,20.3741680840765,21.51972282597,11.818794246611,8.73336226259583,15.5253642109304,9.99402357390281,14.8646154925718
CENPK,6.32301768126511,125.531716484825,27.4855680153743,15.2833839595427,9.87977722513754,11.9928282886834,30.1979350772518
CENPL,1.40511504028114,17.933102354975,6.04682496338235,7.64169197977135,7.0569837322411,0,1.87481636843248
CENPM,2.1076725604217,7.17324094199,3.02341248169118,0.545835141412239,0,0,2.27656273309659
CENPN,0,0,0.274855680153743,1.09167028282448,4.23419023934466,0,0.937408184216242
CENPO,2.81023008056227,3.586620470995,12.3685056069184,12.0083731110693,12.702570718034,3.99760942956112,3.4818018270889
CENPP,132.783371306567,111.185234600845,91.2520858110428,63.862711545232,107.266152730065,47.9713131547335,85.7728488557862
CENPQ,8.43069024168681,10.759861412985,3.02341248169118,2.18334056564896,1.41139674644822,5.99641414434168,8.77146229516627
